ordernum,quant,region,store,saledate,dep,item,unitsold,unitprice,employeeID
0,40,Central US,Central US Store 30,2019-03-14,Furniture,Indoor seating,5,100,62549032
1,73,Central US,Central US Store 30,2019-02-28,Baby,Diaper bags,6,12,34032764
2,76,Central US,Central US Store 30,2019-06-04,Baby,Baby toys,8,15,67488828
3,9,Central US,Central US Store 30,2019-03-19,Furniture,Beds,6,100,87218988
4,81,Central US,Central US Store 30,2019-05-15,Electronics,Cell Phones,4,50,94054579
5,18,Central US,Central US Store 30,2019-02-27,Furniture,Beds,7,75,21593242
6,65,Central US,Central US Store 30,2019-05-27,Furniture,Pool furniture,10,40,67889380
7,79,Central US,Central US Store 30,2019-01-21,Baby,Strollers,7,15,97845222
8,85,Central US,Central US Store 30,2019-03-02,Furniture,Pool furniture,5,15,19329845
9,96,Central US,Central US Store 30,2019-03-02,Baby,Diaper bags,6,12,72614808
10,74,Central US,Central US Store 30,2019-04-04,Baby,Strollers,4,10,24849124
11,93,Central US,Central US Store 30,2019-07-04,Furniture,Patio furniture,12,100,94218288
12,69,Central US,Central US Store 30,2019-02-19,Clothing,Swimwear,7,10,24308133
13,57,Central US,Central US Store 30,2019-06-07,Clothing,Swimwear,12,10,23891032
14,56,Central US,Central US Store 30,2019-03-05,Beauty/Health,Makeup,3,10,69153272
15,11,Central US,Central US Store 30,2019-01-03,Beauty/Health,Skincare,5,6,26352775
16,83,Central US,Central US Store 30,2019-01-08,Furniture,Indoor seating,3,30,72570578
17,93,Central US,Central US Store 30,2019-05-25,Clothing,Womens,7,20,53339010
18,60,Central US,Central US Store 30,2019-01-30,Electronics,Computers,4,200,41168160
19,99,Central US,Central US Store 30,2019-02-21,Electronics,Televisions,4,100,90150451
20,30,Central US,Central US Store 30,2019-02-05,Electronics,Tablets,3,100,41258974
21,71,Central US,Central US Store 30,2019-06-25,Baby,Strollers,6,5,23166698
22,81,Central US,Central US Store 30,2019-04-21,Electronics,Televisions,3,200,59845363
23,1,Central US,Central US Store 30,2019-05-08,Baby,Car seats,7,12,70774654
24,68,Central US,Central US Store 30,2019-01-24,Clothing,Baby,3,25,47514865
25,10,Central US,Central US Store 30,2019-01-20,Electronics,Speakers,4,200,22104464
26,30,Central US,Central US Store 30,2019-04-21,Clothing,Shoes,8,13,24913689
