ordernum,quant,region,store,saledate,dep,item,unitsold,unitprice,employeeID
0,90,East US,East US Store 36,2019-06-18,Clothing,Swimwear,5,25,90957669
1,84,East US,East US Store 36,2019-01-07,Baby,Diapers,3,30,79766066
2,25,East US,East US Store 36,2019-02-11,Clothing,Womens,7,13,16467210
3,88,East US,East US Store 36,2019-01-13,Clothing,Mens,5,10,23674230
4,76,East US,East US Store 36,2019-05-08,Furniture,Pool furniture,12,30,67328534
5,66,East US,East US Store 36,2019-02-01,Baby,Diapers,4,30,57410925
6,2,East US,East US Store 36,2019-05-22,Baby,Baby toys,12,5,46240613
7,92,East US,East US Store 36,2019-05-06,Beauty/Health,Haircare,10,10,43391160
8,24,East US,East US Store 36,2019-04-02,Baby,Diapers,6,5,90573332
9,5,East US,East US Store 36,2019-03-19,Baby,Cribs,4,30,70574318
10,9,East US,East US Store 36,2019-04-27,Beauty/Health,Fragrances,10,10,16847094
11,12,East US,East US Store 36,2019-04-03,Electronics,Computers,3,200,46064921
12,53,East US,East US Store 36,2019-06-30,Electronics,Televisions,3,200,21936210
13,8,East US,East US Store 36,2019-04-15,Electronics,Computers,4,100,81003192
14,23,East US,East US Store 36,2019-06-27,Beauty/Health,Feminine Products,10,14,16325830
15,51,East US,East US Store 36,2019-06-10,Clothing,Womens,6,25,89889457
16,73,East US,East US Store 36,2019-03-12,Beauty/Health,Makeup,5,10,30133909
17,94,East US,East US Store 36,2019-05-11,Electronics,Cell Phones,4,100,50156454
18,79,East US,East US Store 36,2019-03-20,Electronics,Cell Phones,4,300,66441777
19,62,East US,East US Store 36,2019-04-25,Clothing,Womens,11,10,46221539
20,77,East US,East US Store 36,2019-05-24,Clothing,Kids,7,25,83206728
21,16,East US,East US Store 36,2019-02-22,Clothing,Swimwear,5,10,21031278
22,40,East US,East US Store 36,2019-06-07,Furniture,Beds,11,100,42869225
23,76,East US,East US Store 36,2019-03-07,Clothing,Swimwear,4,20,15261563
24,10,East US,East US Store 36,2019-01-02,Clothing,Baby,4,20,83210111
25,18,East US,East US Store 36,2019-03-22,Electronics,Televisions,4,200,25684889
26,69,East US,East US Store 36,2019-06-23,Furniture,Pool furniture,8,40,54282943
27,71,East US,East US Store 36,2019-04-28,Clothing,Kids,9,13,84528035
28,16,East US,East US Store 36,2019-04-21,Furniture,Pool furniture,10,15,61934722
29,64,East US,East US Store 36,2019-03-16,Beauty/Health,Makeup,5,10,67013042
30,54,East US,East US Store 36,2019-03-07,Beauty/Health,Haircare,3,10,39297632
31,20,East US,East US Store 36,2019-01-29,Beauty/Health,Skincare,7,10,20441375
32,93,East US,East US Store 36,2019-05-07,Baby,Strollers,10,15,70299917
33,15,East US,East US Store 36,2019-02-28,Beauty/Health,Makeup,6,15,29510724
