ordernum,quant,region,store,saledate,dep,item,unitsold,unitprice,employeeID
0,23,Australia Southeast,Australia Southeast Store 92,2019-06-05,Clothing,Kids,6,20,65511505
1,51,Australia Southeast,Australia Southeast Store 92,2019-06-09,Furniture,Indoor seating,6,30,48407115
2,59,Australia Southeast,Australia Southeast Store 92,2019-05-17,Clothing,Mens,10,13,41556876
3,38,Australia Southeast,Australia Southeast Store 92,2019-06-25,Clothing,Swimwear,9,25,72145334
4,76,Australia Southeast,Australia Southeast Store 92,2019-01-11,Baby,Baby toys,4,15,26772717
5,65,Australia Southeast,Australia Southeast Store 92,2019-01-31,Furniture,Indoor seating,1,100,34843329
6,97,Australia Southeast,Australia Southeast Store 92,2019-01-17,Baby,Diapers,4,5,59009994
7,80,Australia Southeast,Australia Southeast Store 92,2019-02-18,Electronics,Tablets,1,200,66391245
8,54,Australia Southeast,Australia Southeast Store 92,2019-04-30,Furniture,Indoor tables,8,40,98510175
9,77,Australia Southeast,Australia Southeast Store 92,2019-02-12,Baby,Cribs,4,15,88327265
10,47,Australia Southeast,Australia Southeast Store 92,2019-05-08,Furniture,Pool furniture,8,40,65110542
11,80,Australia Southeast,Australia Southeast Store 92,2019-06-20,Clothing,Kids,10,12,76226906
12,97,Australia Southeast,Australia Southeast Store 92,2019-03-17,Clothing,Shoes,2,20,28861591
13,55,Australia Southeast,Australia Southeast Store 92,2019-04-21,Electronics,Televisions,2,200,83514118
14,47,Australia Southeast,Australia Southeast Store 92,2019-02-09,Furniture,Pool furniture,3,15,60968988
15,9,Australia Southeast,Australia Southeast Store 92,2019-01-07,Electronics,Cell Phones,1,50,35874091
16,8,Australia Southeast,Australia Southeast Store 92,2019-03-06,Electronics,Televisions,1,200,37554701
17,71,Australia Southeast,Australia Southeast Store 92,2019-03-20,Baby,Diapers,5,5,65880685
18,56,Australia Southeast,Australia Southeast Store 92,2019-02-19,Electronics,Televisions,1,100,38131426
19,80,Australia Southeast,Australia Southeast Store 92,2019-01-31,Furniture,Indoor tables,2,40,42574356
20,80,Australia Southeast,Australia Southeast Store 92,2019-05-05,Furniture,Beds,9,40,88796124
21,77,Australia Southeast,Australia Southeast Store 92,2019-04-19,Furniture,Indoor seating,4,40,21288185
22,31,Australia Southeast,Australia Southeast Store 92,2019-05-28,Baby,Baby toys,3,10,85694387
23,87,Australia Southeast,Australia Southeast Store 92,2019-01-23,Electronics,Cell Phones,1,50,35911424
24,57,Australia Southeast,Australia Southeast Store 92,2019-03-03,Furniture,Indoor seating,2,100,95774244
25,70,Australia Southeast,Australia Southeast Store 92,2019-01-13,Beauty/Health,Fragrances,2,15,42732208
26,53,Australia Southeast,Australia Southeast Store 92,2019-04-13,Furniture,Beds,5,100,79495042
27,32,Australia Southeast,Australia Southeast Store 92,2019-02-01,Beauty/Health,Skincare,3,10,17341600
28,4,Australia Southeast,Australia Southeast Store 92,2019-05-05,Electronics,Televisions,2,50,96824969
29,59,Australia Southeast,Australia Southeast Store 92,2019-06-28,Clothing,Swimwear,4,25,93629839
30,97,Australia Southeast,Australia Southeast Store 92,2019-06-11,Furniture,Patio furniture,7,100,52356832
31,31,Australia Southeast,Australia Southeast Store 92,2019-03-16,Furniture,Indoor seating,3,100,56506458
32,89,Australia Southeast,Australia Southeast Store 92,2019-02-15,Baby,Diapers,2,5,61111253
33,55,Australia Southeast,Australia Southeast Store 92,2019-02-08,Clothing,Womens,4,25,76580305
34,16,Australia Southeast,Australia Southeast Store 92,2019-03-05,Electronics,Headphones,1,200,61237300
35,100,Australia Southeast,Australia Southeast Store 92,2019-04-18,Furniture,Pool furniture,5,30,79560408
36,77,Australia Southeast,Australia Southeast Store 92,2019-07-02,Beauty/Health,Haircare,9,10,28594402
37,63,Australia Southeast,Australia Southeast Store 92,2019-05-25,Clothing,Swimwear,5,20,33509804
38,62,Australia Southeast,Australia Southeast Store 92,2019-03-18,Baby,Diaper bags,1,30,12188341
39,73,Australia Southeast,Australia Southeast Store 92,2019-02-20,Electronics,Televisions,1,200,61253709
40,86,Australia Southeast,Australia Southeast Store 92,2019-04-03,Electronics,Televisions,2,50,57402692
41,83,Australia Southeast,Australia Southeast Store 92,2019-02-09,Beauty/Health,Fragrances,3,6,21974274
42,76,Australia Southeast,Australia Southeast Store 92,2019-02-18,Baby,Diaper bags,2,5,15148104
43,87,Australia Southeast,Australia Southeast Store 92,2019-02-14,Beauty/Health,Haircare,1,10,58307459
44,51,Australia Southeast,Australia Southeast Store 92,2019-05-23,Electronics,Headphones,2,300,55914062
45,14,Australia Southeast,Australia Southeast Store 92,2019-03-06,Furniture,Pool furniture,3,75,33269298
46,28,Australia Southeast,Australia Southeast Store 92,2019-02-20,Beauty/Health,Fragrances,3,6,21764849
47,100,Australia Southeast,Australia Southeast Store 92,2019-01-28,Clothing,Shoes,1,20,43323947
48,46,Australia Southeast,Australia Southeast Store 92,2019-04-15,Clothing,Womens,3,25,36056527
49,84,Australia Southeast,Australia Southeast Store 92,2019-01-15,Beauty/Health,Oral care,2,10,12293480
50,69,Australia Southeast,Australia Southeast Store 92,2019-06-12,Beauty/Health,Fragrances,7,14,74610235
51,51,Australia Southeast,Australia Southeast Store 92,2019-02-16,Furniture,Pool furniture,5,75,32874526
52,4,Australia Southeast,Australia Southeast Store 92,2019-06-10,Clothing,Kids,7,13,65233637
53,13,Australia Southeast,Australia Southeast Store 92,2019-01-14,Beauty/Health,Oral care,5,10,97736844
54,10,Australia Southeast,Australia Southeast Store 92,2019-05-05,Clothing,Womens,4,25,57280657
