ordernum,quant,region,store,saledate,dep,item,unitsold,unitprice,employeeID
0,73,Australia Southeast,Australia Southeast Store 37,2019-05-26,Electronics,Televisions,2,100,27609576
1,14,Australia Southeast,Australia Southeast Store 37,2019-01-13,Electronics,Speakers,2,50,26531979
2,72,Australia Southeast,Australia Southeast Store 37,2019-01-23,Furniture,Beds,3,40,96348174
3,81,Australia Southeast,Australia Southeast Store 37,2019-04-20,Baby,Cribs,10,15,57529347
4,19,Australia Southeast,Australia Southeast Store 37,2019-03-02,Beauty/Health,Oral care,2,15,48331848
5,65,Australia Southeast,Australia Southeast Store 37,2019-04-29,Clothing,Baby,8,20,87075067
6,33,Australia Southeast,Australia Southeast Store 37,2019-03-18,Electronics,Televisions,2,100,23221537
7,82,Australia Southeast,Australia Southeast Store 37,2019-02-17,Clothing,Womens,1,25,17567401
8,47,Australia Southeast,Australia Southeast Store 37,2019-02-04,Baby,Cribs,2,30,33284092
9,82,Australia Southeast,Australia Southeast Store 37,2019-07-05,Baby,Strollers,8,15,95569552
10,11,Australia Southeast,Australia Southeast Store 37,2019-05-25,Furniture,Indoor tables,4,40,53256596
11,4,Australia Southeast,Australia Southeast Store 37,2019-01-11,Furniture,Patio furniture,4,100,21372094
12,47,Australia Southeast,Australia Southeast Store 37,2019-02-26,Furniture,Patio furniture,1,15,38956247
13,6,Australia Southeast,Australia Southeast Store 37,2019-01-30,Clothing,Swimwear,4,10,71913703
14,65,Australia Southeast,Australia Southeast Store 37,2019-07-11,Beauty/Health,Makeup,6,14,91271175
15,74,Australia Southeast,Australia Southeast Store 37,2019-07-13,Furniture,Indoor tables,8,15,32806793
16,79,Australia Southeast,Australia Southeast Store 37,2019-01-28,Furniture,Indoor tables,5,15,98792764
17,26,Australia Southeast,Australia Southeast Store 37,2019-02-27,Clothing,Kids,1,13,39447037
18,30,Australia Southeast,Australia Southeast Store 37,2019-01-26,Baby,Car seats,5,5,24607242
19,18,Australia Southeast,Australia Southeast Store 37,2019-02-19,Clothing,Swimwear,4,25,47632287
20,100,Australia Southeast,Australia Southeast Store 37,2019-06-30,Clothing,Baby,3,10,39291214
21,60,Australia Southeast,Australia Southeast Store 37,2019-03-08,Furniture,Indoor seating,2,15,47564770
22,15,Australia Southeast,Australia Southeast Store 37,2019-02-15,Beauty/Health,Oral care,4,14,20042676
23,23,Australia Southeast,Australia Southeast Store 37,2019-01-23,Furniture,Indoor seating,1,100,58083540
24,90,Australia Southeast,Australia Southeast Store 37,2019-06-25,Clothing,Shoes,8,12,77853742
25,25,Australia Southeast,Australia Southeast Store 37,2019-01-22,Furniture,Pool furniture,3,30,43484822
26,24,Australia Southeast,Australia Southeast Store 37,2019-05-25,Furniture,Pool furniture,4,40,80628683
27,85,Australia Southeast,Australia Southeast Store 37,2019-05-08,Baby,Car seats,5,30,75582765
28,66,Australia Southeast,Australia Southeast Store 37,2019-04-19,Clothing,Swimwear,10,20,14935221
29,56,Australia Southeast,Australia Southeast Store 37,2019-06-03,Clothing,Baby,4,25,24506090
30,2,Australia Southeast,Australia Southeast Store 37,2019-02-28,Furniture,Beds,1,30,85418224
31,46,Australia Southeast,Australia Southeast Store 37,2019-07-12,Beauty/Health,Oral care,5,6,13575280
32,39,Australia Southeast,Australia Southeast Store 37,2019-04-01,Electronics,Headphones,2,50,38390968
33,68,Australia Southeast,Australia Southeast Store 37,2019-06-09,Furniture,Indoor tables,3,30,64677092
34,99,Australia Southeast,Australia Southeast Store 37,2019-04-22,Clothing,Mens,6,25,38644316
35,95,Australia Southeast,Australia Southeast Store 37,2019-03-30,Clothing,Baby,5,25,58772414
36,100,Australia Southeast,Australia Southeast Store 37,2019-05-15,Baby,Diapers,7,12,46913761
37,68,Australia Southeast,Australia Southeast Store 37,2019-03-25,Electronics,Cell Phones,1,300,92716958
38,81,Australia Southeast,Australia Southeast Store 37,2019-07-11,Baby,Baby toys,3,12,18674851
39,52,Australia Southeast,Australia Southeast Store 37,2019-06-04,Furniture,Indoor tables,9,40,87256063
40,31,Australia Southeast,Australia Southeast Store 37,2019-04-06,Beauty/Health,Bath,1,10,55191217
41,83,Australia Southeast,Australia Southeast Store 37,2019-03-23,Clothing,Kids,3,13,45783678
42,5,Australia Southeast,Australia Southeast Store 37,2019-06-19,Furniture,Indoor seating,8,15,71075909
43,30,Australia Southeast,Australia Southeast Store 37,2019-06-19,Clothing,Shoes,10,10,71462035
44,37,Australia Southeast,Australia Southeast Store 37,2019-07-08,Clothing,Baby,8,13,78889581
45,32,Australia Southeast,Australia Southeast Store 37,2019-02-25,Beauty/Health,Oral care,1,6,83988952
