ordernum,quant,region,store,saledate,dep,item,unitsold,unitprice,employeeID
0,1,North Europe,North Europe Store 70,2019-07-01,Baby,Diaper bags,5,10,33408942
1,84,North Europe,North Europe Store 70,2019-04-19,Furniture,Patio furniture,3,100,80299453
2,71,North Europe,North Europe Store 70,2019-03-19,Clothing,Kids,1,20,98775246
3,27,North Europe,North Europe Store 70,2019-01-23,Electronics,Televisions,1,100,47121574
4,33,North Europe,North Europe Store 70,2019-02-01,Baby,Strollers,5,15,66385846
5,91,North Europe,North Europe Store 70,2019-01-20,Clothing,Mens,1,12,16261129
6,36,North Europe,North Europe Store 70,2019-03-18,Clothing,Baby,3,25,24471780
7,100,North Europe,North Europe Store 70,2019-05-19,Beauty/Health,Makeup,4,14,46597673
8,77,North Europe,North Europe Store 70,2019-01-07,Baby,Diapers,5,5,59621986
9,84,North Europe,North Europe Store 70,2019-05-25,Clothing,Baby,8,25,79194235
10,15,North Europe,North Europe Store 70,2019-05-15,Electronics,Tablets,2,50,16362153
11,45,North Europe,North Europe Store 70,2019-06-26,Baby,Car seats,6,5,59373769
12,37,North Europe,North Europe Store 70,2019-06-18,Baby,Cribs,7,30,79434607
13,28,North Europe,North Europe Store 70,2019-05-17,Furniture,Indoor seating,3,75,80479380
14,56,North Europe,North Europe Store 70,2019-01-05,Baby,Strollers,1,30,44720900
15,72,North Europe,North Europe Store 70,2019-05-02,Beauty/Health,Skincare,9,14,15220884
16,38,North Europe,North Europe Store 70,2019-04-26,Beauty/Health,Skincare,10,14,44418010
17,22,North Europe,North Europe Store 70,2019-04-10,Beauty/Health,Feminine Products,6,10,16157572
18,32,North Europe,North Europe Store 70,2019-05-16,Electronics,Cell Phones,1,200,40859415
19,38,North Europe,North Europe Store 70,2019-01-08,Clothing,Baby,1,12,77535133
20,20,North Europe,North Europe Store 70,2019-05-27,Baby,Strollers,7,10,48327864
21,29,North Europe,North Europe Store 70,2019-04-01,Furniture,Pool furniture,1,75,51440134
22,78,North Europe,North Europe Store 70,2019-02-26,Electronics,Speakers,1,200,54521066
23,93,North Europe,North Europe Store 70,2019-03-30,Furniture,Pool furniture,1,15,82805814
24,44,North Europe,North Europe Store 70,2019-04-27,Clothing,Shoes,4,12,93385179
25,90,North Europe,North Europe Store 70,2019-01-30,Baby,Car seats,2,12,59689813
26,79,North Europe,North Europe Store 70,2019-01-16,Baby,Diaper bags,2,30,75729673
27,84,North Europe,North Europe Store 70,2019-06-18,Beauty/Health,Makeup,8,6,65292859
28,67,North Europe,North Europe Store 70,2019-03-19,Furniture,Patio furniture,3,30,45358215
29,32,North Europe,North Europe Store 70,2019-03-04,Beauty/Health,Makeup,3,10,61633720
30,2,North Europe,North Europe Store 70,2019-03-23,Clothing,Shoes,3,12,46598098
31,52,North Europe,North Europe Store 70,2019-07-12,Electronics,Speakers,1,50,51936728
32,36,North Europe,North Europe Store 70,2019-01-09,Electronics,Cell Phones,1,50,95073598
