ordernum,quant,region,store,saledate,dep,item,unitsold,unitprice,employeeID
0,8,West US,West US Store 95,2019-02-15,Beauty/Health,Oral care,4,15,14940240
1,56,West US,West US Store 95,2019-05-31,Clothing,Kids,10,10,34361415
2,39,West US,West US Store 95,2019-05-04,Electronics,Headphones,3,100,90422859
3,60,West US,West US Store 95,2019-07-10,Baby,Strollers,10,15,91384720
4,35,West US,West US Store 95,2019-05-07,Clothing,Womens,11,25,63127660
5,96,West US,West US Store 95,2019-03-26,Baby,Car seats,7,10,40024494
6,10,West US,West US Store 95,2019-01-23,Baby,Car seats,4,30,36982616
7,58,West US,West US Store 95,2019-05-11,Furniture,Patio furniture,11,75,91586718
8,85,West US,West US Store 95,2019-05-25,Clothing,Kids,12,13,93389140
9,55,West US,West US Store 95,2019-06-09,Baby,Baby toys,11,30,75211462
10,19,West US,West US Store 95,2019-04-05,Clothing,Mens,4,12,70423210
11,2,West US,West US Store 95,2019-02-24,Clothing,Shoes,7,13,66417581
12,42,West US,West US Store 95,2019-02-17,Beauty/Health,Oral care,6,14,19740319
13,20,West US,West US Store 95,2019-04-03,Clothing,Kids,4,20,20075026
14,83,West US,West US Store 95,2019-04-28,Clothing,Kids,7,25,14432402
15,75,West US,West US Store 95,2019-03-10,Baby,Diaper bags,7,10,73501544
16,49,West US,West US Store 95,2019-02-20,Electronics,Cell Phones,4,200,11904487
17,32,West US,West US Store 95,2019-07-02,Baby,Baby toys,5,15,23229734
18,93,West US,West US Store 95,2019-01-01,Furniture,Indoor tables,7,40,85364948
19,99,West US,West US Store 95,2019-03-24,Clothing,Womens,5,13,14887719
20,19,West US,West US Store 95,2019-02-13,Baby,Cribs,3,5,77406859
21,35,West US,West US Store 95,2019-06-04,Electronics,Tablets,4,200,72747839
22,41,West US,West US Store 95,2019-02-14,Electronics,Computers,4,200,98025752
23,29,West US,West US Store 95,2019-04-28,Electronics,Televisions,4,300,45018279
24,53,West US,West US Store 95,2019-03-01,Electronics,Computers,4,200,24919568
25,78,West US,West US Store 95,2019-01-27,Furniture,Indoor seating,5,75,56306892
26,83,West US,West US Store 95,2019-03-15,Baby,Car seats,7,12,85458883
27,10,West US,West US Store 95,2019-02-12,Clothing,Mens,4,20,26114985
28,85,West US,West US Store 95,2019-05-23,Furniture,Indoor tables,11,75,91572265
29,64,West US,West US Store 95,2019-01-01,Electronics,Tablets,4,200,51283042
30,38,West US,West US Store 95,2019-02-20,Furniture,Patio furniture,7,30,70603428
31,13,West US,West US Store 95,2019-01-21,Electronics,Speakers,4,200,32060558
32,3,West US,West US Store 95,2019-06-21,Furniture,Indoor seating,6,75,28416720
33,36,West US,West US Store 95,2019-07-03,Beauty/Health,Oral care,11,10,55309000
34,89,West US,West US Store 95,2019-04-28,Beauty/Health,Skincare,7,6,90391344
35,89,West US,West US Store 95,2019-02-26,Electronics,Speakers,3,100,26384003
36,89,West US,West US Store 95,2019-01-26,Beauty/Health,Makeup,5,15,48608261
37,10,West US,West US Store 95,2019-06-25,Beauty/Health,Fragrances,12,15,82297391
38,20,West US,West US Store 95,2019-02-21,Clothing,Shoes,7,12,84690084
39,51,West US,West US Store 95,2019-04-18,Beauty/Health,Fragrances,12,10,34497295
40,74,West US,West US Store 95,2019-07-05,Electronics,Tablets,3,50,99370474
41,35,West US,West US Store 95,2019-04-11,Furniture,Patio furniture,10,100,65707730
42,51,West US,West US Store 95,2019-02-12,Clothing,Mens,5,12,58578692
43,51,West US,West US Store 95,2019-06-30,Clothing,Womens,10,25,74942467
44,64,West US,West US Store 95,2019-03-22,Clothing,Womens,4,10,77950191
45,82,West US,West US Store 95,2019-01-24,Electronics,Computers,3,300,39135584
46,46,West US,West US Store 95,2019-04-28,Clothing,Kids,6,20,57624461
47,69,West US,West US Store 95,2019-06-02,Electronics,Headphones,3,300,86394971
48,4,West US,West US Store 95,2019-04-30,Beauty/Health,Oral care,12,6,46599246
49,79,West US,West US Store 95,2019-06-10,Baby,Baby toys,11,30,89206584
50,51,West US,West US Store 95,2019-04-18,Electronics,Speakers,3,200,23101032
51,65,West US,West US Store 95,2019-01-16,Electronics,Computers,4,200,57425237
52,90,West US,West US Store 95,2019-02-22,Beauty/Health,Fragrances,6,10,17719794
53,86,West US,West US Store 95,2019-06-05,Beauty/Health,Fragrances,7,10,14464022
54,81,West US,West US Store 95,2019-06-18,Furniture,Indoor tables,11,15,13766501
55,28,West US,West US Store 95,2019-04-08,Clothing,Womens,7,13,84213239
56,58,West US,West US Store 95,2019-04-03,Clothing,Baby,7,10,18102950
57,14,West US,West US Store 95,2019-01-12,Electronics,Computers,3,200,97527321
58,42,West US,West US Store 95,2019-03-03,Electronics,Headphones,3,100,57773181
59,95,West US,West US Store 95,2019-03-21,Furniture,Patio furniture,3,40,46590802
60,90,West US,West US Store 95,2019-03-08,Furniture,Patio furniture,6,100,71594271
61,56,West US,West US Store 95,2019-02-04,Electronics,Televisions,4,100,66339362
62,64,West US,West US Store 95,2019-07-05,Electronics,Speakers,4,100,11579235
63,85,West US,West US Store 95,2019-06-26,Baby,Strollers,10,10,33372027
64,6,West US,West US Store 95,2019-02-13,Clothing,Baby,6,25,83868059
65,74,West US,West US Store 95,2019-01-21,Electronics,Headphones,4,100,65252344
66,78,West US,West US Store 95,2019-02-01,Baby,Diaper bags,5,5,38263579
67,78,West US,West US Store 95,2019-02-21,Clothing,Womens,4,25,32381599
68,38,West US,West US Store 95,2019-06-07,Electronics,Computers,4,100,21113559
69,87,West US,West US Store 95,2019-05-17,Furniture,Indoor tables,11,30,31518694
70,33,West US,West US Store 95,2019-05-03,Beauty/Health,Fragrances,5,6,77330251
71,3,West US,West US Store 95,2019-03-17,Clothing,Baby,3,10,99300173
72,23,West US,West US Store 95,2019-03-29,Furniture,Indoor tables,7,75,38968916
73,77,West US,West US Store 95,2019-06-26,Furniture,Pool furniture,10,40,56059760
74,46,West US,West US Store 95,2019-03-28,Furniture,Pool furniture,7,40,69531408
75,67,West US,West US Store 95,2019-01-20,Beauty/Health,Haircare,4,14,66073415
76,80,West US,West US Store 95,2019-05-22,Baby,Cribs,8,30,32586868
77,28,West US,West US Store 95,2019-03-18,Baby,Strollers,6,10,70470152
78,85,West US,West US Store 95,2019-07-12,Beauty/Health,Haircare,9,15,92554967
79,48,West US,West US Store 95,2019-05-24,Clothing,Shoes,10,25,75891259
80,57,West US,West US Store 95,2019-06-05,Baby,Diaper bags,8,5,90892562
81,42,West US,West US Store 95,2019-03-28,Furniture,Beds,6,75,22591161
