ordernum,quant,region,store,saledate,dep,item,unitsold,unitprice,employeeID
0,23,North Europe,North Europe Store 23,2019-07-06,Clothing,Kids,9,25,96465111
1,4,North Europe,North Europe Store 23,2019-05-17,Clothing,Mens,8,13,28741154
2,46,North Europe,North Europe Store 23,2019-01-23,Clothing,Kids,3,25,14916623
3,54,North Europe,North Europe Store 23,2019-03-04,Baby,Diapers,1,12,38215521
4,49,North Europe,North Europe Store 23,2019-06-04,Furniture,Indoor tables,6,15,50963773
5,14,North Europe,North Europe Store 23,2019-02-04,Furniture,Indoor tables,4,100,25405573
6,52,North Europe,North Europe Store 23,2019-07-16,Furniture,Pool furniture,6,100,82549516
7,48,North Europe,North Europe Store 23,2019-07-02,Furniture,Beds,8,40,60096849
8,43,North Europe,North Europe Store 23,2019-02-23,Baby,Cribs,4,30,12287790
9,19,North Europe,North Europe Store 23,2019-07-12,Clothing,Mens,4,25,80297629
10,97,North Europe,North Europe Store 23,2019-03-13,Beauty/Health,Bath,4,10,87804239
11,81,North Europe,North Europe Store 23,2019-06-26,Electronics,Tablets,1,50,42925271
12,31,North Europe,North Europe Store 23,2019-03-13,Clothing,Kids,3,20,81753695
13,27,North Europe,North Europe Store 23,2019-05-10,Furniture,Indoor tables,8,30,94007953
14,5,North Europe,North Europe Store 23,2019-03-17,Furniture,Patio furniture,4,40,20672987
15,15,North Europe,North Europe Store 23,2019-05-30,Electronics,Cell Phones,2,200,66606470
16,67,North Europe,North Europe Store 23,2019-04-03,Baby,Strollers,1,30,64199876
17,98,North Europe,North Europe Store 23,2019-01-15,Beauty/Health,Fragrances,2,10,69821148
18,55,North Europe,North Europe Store 23,2019-03-17,Furniture,Patio furniture,3,100,60910494
19,46,North Europe,North Europe Store 23,2019-07-02,Baby,Cribs,6,30,94773126
20,64,North Europe,North Europe Store 23,2019-06-26,Furniture,Pool furniture,3,15,12793825
21,34,North Europe,North Europe Store 23,2019-01-12,Electronics,Speakers,1,100,29340199
22,55,North Europe,North Europe Store 23,2019-03-10,Furniture,Patio furniture,3,15,59845767
23,61,North Europe,North Europe Store 23,2019-05-30,Clothing,Mens,8,13,89407480
24,101,North Europe,North Europe Store 23,2019-01-30,Baby,Baby toys,3,5,79327105
25,33,North Europe,North Europe Store 23,2019-06-13,Clothing,Swimwear,5,20,36709927
26,101,North Europe,North Europe Store 23,2019-03-31,Clothing,Baby,1,20,43222460
27,20,North Europe,North Europe Store 23,2019-02-01,Furniture,Patio furniture,2,15,39501289
28,32,North Europe,North Europe Store 23,2019-06-18,Clothing,Womens,3,12,63677019
29,1,North Europe,North Europe Store 23,2019-07-05,Clothing,Swimwear,8,25,47100740
30,5,North Europe,North Europe Store 23,2019-04-17,Furniture,Pool furniture,9,40,29116477
31,3,North Europe,North Europe Store 23,2019-02-13,Baby,Diaper bags,5,30,86636015
32,100,North Europe,North Europe Store 23,2019-03-23,Beauty/Health,Fragrances,5,14,39806736
33,7,North Europe,North Europe Store 23,2019-05-23,Beauty/Health,Haircare,7,10,55839970
34,16,North Europe,North Europe Store 23,2019-03-29,Baby,Diapers,3,30,64155255
