ordernum,quant,region,store,saledate,dep,item,unitsold,unitprice,employeeID
0,55,West US,West US Store 10,2019-03-30,Beauty/Health,Makeup,3,14,82585776
1,25,West US,West US Store 10,2019-04-12,Beauty/Health,Oral care,8,6,13780600
2,98,West US,West US Store 10,2019-03-20,Clothing,Kids,6,20,46831562
3,73,West US,West US Store 10,2019-01-21,Electronics,Computers,4,100,93494587
4,45,West US,West US Store 10,2019-03-19,Clothing,Womens,7,10,23706717
5,27,West US,West US Store 10,2019-05-31,Baby,Strollers,12,12,92778980
6,57,West US,West US Store 10,2019-06-04,Clothing,Mens,10,10,97275603
7,32,West US,West US Store 10,2019-05-09,Baby,Diaper bags,5,10,70174511
8,75,West US,West US Store 10,2019-01-10,Electronics,Headphones,4,100,53615371
9,96,West US,West US Store 10,2019-06-20,Clothing,Mens,12,25,31760164
10,67,West US,West US Store 10,2019-04-04,Furniture,Pool furniture,5,30,26316704
11,84,West US,West US Store 10,2019-04-05,Electronics,Televisions,4,300,21011909
12,96,West US,West US Store 10,2019-04-28,Clothing,Baby,6,25,54148140
13,13,West US,West US Store 10,2019-05-21,Furniture,Patio furniture,8,40,33720955
14,7,West US,West US Store 10,2019-07-10,Baby,Car seats,9,30,36575250
15,75,West US,West US Store 10,2019-06-25,Furniture,Beds,10,30,36165641
16,59,West US,West US Store 10,2019-07-16,Beauty/Health,Fragrances,7,10,96374099
17,76,West US,West US Store 10,2019-02-20,Furniture,Indoor seating,3,75,84737051
18,99,West US,West US Store 10,2019-01-26,Electronics,Speakers,3,200,97663600
19,52,West US,West US Store 10,2019-05-31,Beauty/Health,Makeup,11,6,74206834
20,21,West US,West US Store 10,2019-01-09,Beauty/Health,Makeup,5,10,98718782
21,15,West US,West US Store 10,2019-05-11,Baby,Diaper bags,10,30,58467072
22,79,West US,West US Store 10,2019-01-04,Baby,Cribs,4,12,89648505
23,42,West US,West US Store 10,2019-01-28,Clothing,Womens,3,20,19227585
24,81,West US,West US Store 10,2019-06-12,Beauty/Health,Fragrances,7,14,13621363
25,72,West US,West US Store 10,2019-06-02,Furniture,Patio furniture,7,15,49277267
26,29,West US,West US Store 10,2019-01-09,Clothing,Swimwear,5,25,92921835
27,22,West US,West US Store 10,2019-07-08,Beauty/Health,Makeup,12,10,82924601
28,26,West US,West US Store 10,2019-07-12,Beauty/Health,Feminine Products,9,15,78009429
