ordernum,quant,region,store,saledate,dep,item,unitsold,unitprice,employeeID
0,91,North Europe,North Europe Store 15,2019-04-08,Beauty/Health,Makeup,5,14,86570455
1,86,North Europe,North Europe Store 15,2019-04-01,Electronics,Cell Phones,1,100,56573778
2,60,North Europe,North Europe Store 15,2019-05-13,Furniture,Indoor seating,9,40,51852120
3,27,North Europe,North Europe Store 15,2019-04-17,Clothing,Swimwear,5,12,66168976
4,21,North Europe,North Europe Store 15,2019-03-17,Furniture,Indoor seating,5,40,56441062
5,40,North Europe,North Europe Store 15,2019-05-08,Furniture,Indoor seating,8,100,74535237
6,51,North Europe,North Europe Store 15,2019-01-10,Furniture,Indoor seating,2,40,45448938
7,86,North Europe,North Europe Store 15,2019-06-19,Beauty/Health,Makeup,8,10,30079260
8,91,North Europe,North Europe Store 15,2019-01-29,Electronics,Computers,1,200,24654697
9,61,North Europe,North Europe Store 15,2019-01-13,Beauty/Health,Feminine Products,2,10,81679371
10,16,North Europe,North Europe Store 15,2019-04-09,Baby,Car seats,4,10,95506423
11,35,North Europe,North Europe Store 15,2019-01-15,Beauty/Health,Haircare,4,10,73105338
12,19,North Europe,North Europe Store 15,2019-03-05,Baby,Baby toys,1,15,54438060
13,88,North Europe,North Europe Store 15,2019-03-03,Furniture,Pool furniture,1,40,18922921
14,47,North Europe,North Europe Store 15,2019-04-26,Furniture,Indoor seating,4,75,95344329
15,26,North Europe,North Europe Store 15,2019-05-20,Clothing,Mens,3,25,83825675
16,99,North Europe,North Europe Store 15,2019-06-12,Clothing,Swimwear,4,12,96224853
17,26,North Europe,North Europe Store 15,2019-02-04,Furniture,Beds,1,30,64780687
18,17,North Europe,North Europe Store 15,2019-06-29,Clothing,Swimwear,5,12,98353884
19,97,North Europe,North Europe Store 15,2019-06-05,Baby,Baby toys,3,15,96685721
20,78,North Europe,North Europe Store 15,2019-02-10,Electronics,Televisions,2,50,25489262
21,92,North Europe,North Europe Store 15,2019-02-16,Furniture,Indoor seating,4,15,73957684
22,42,North Europe,North Europe Store 15,2019-03-07,Beauty/Health,Feminine Products,3,10,11919335
23,51,North Europe,North Europe Store 15,2019-05-27,Baby,Diapers,4,5,78519437
24,19,North Europe,North Europe Store 15,2019-03-08,Clothing,Kids,4,20,75813670
25,81,North Europe,North Europe Store 15,2019-07-10,Electronics,Computers,1,50,50539374
26,81,North Europe,North Europe Store 15,2019-07-02,Clothing,Kids,5,25,40356266
27,60,North Europe,North Europe Store 15,2019-06-08,Furniture,Pool furniture,8,30,50441196
28,68,North Europe,North Europe Store 15,2019-04-23,Clothing,Baby,4,10,26937692
29,83,North Europe,North Europe Store 15,2019-02-18,Electronics,Headphones,2,300,24920501
