ordernum,quant,region,store,saledate,dep,item,unitsold,unitprice,employeeID
0,98,East Europe,East Europe Store 12,2019-04-25,Baby,Cribs,9,15,31096175
1,69,East Europe,East Europe Store 12,2019-03-10,Clothing,Baby,3,13,55776631
2,59,East Europe,East Europe Store 12,2019-06-13,Baby,Car seats,9,15,55468748
3,67,East Europe,East Europe Store 12,2019-03-09,Furniture,Beds,5,30,43258722
4,64,East Europe,East Europe Store 12,2019-04-11,Furniture,Pool furniture,9,30,79159831
5,53,East Europe,East Europe Store 12,2019-05-11,Furniture,Indoor tables,7,75,69224198
6,40,East Europe,East Europe Store 12,2019-04-05,Electronics,Tablets,2,200,96314133
7,71,East Europe,East Europe Store 12,2019-07-15,Electronics,Speakers,2,200,19927857
8,24,East Europe,East Europe Store 12,2019-03-22,Furniture,Pool furniture,1,30,84681730
9,8,East Europe,East Europe Store 12,2019-01-27,Baby,Baby toys,4,30,38004111
10,19,East Europe,East Europe Store 12,2019-04-24,Furniture,Patio furniture,3,100,78801919
11,47,East Europe,East Europe Store 12,2019-01-07,Baby,Car seats,5,12,54303992
12,54,East Europe,East Europe Store 12,2019-04-25,Electronics,Televisions,2,200,60278989
13,55,East Europe,East Europe Store 12,2019-04-08,Beauty/Health,Fragrances,4,15,10199420
14,78,East Europe,East Europe Store 12,2019-02-19,Furniture,Patio furniture,4,30,93183409
15,90,East Europe,East Europe Store 12,2019-05-10,Beauty/Health,Skincare,7,6,53918668
16,80,East Europe,East Europe Store 12,2019-05-21,Clothing,Mens,3,25,22590689
17,10,East Europe,East Europe Store 12,2019-01-21,Baby,Cribs,4,10,86002389
18,45,East Europe,East Europe Store 12,2019-03-26,Baby,Strollers,5,30,36122772
19,78,East Europe,East Europe Store 12,2019-02-20,Electronics,Televisions,1,300,26030251
20,69,East Europe,East Europe Store 12,2019-04-11,Clothing,Swimwear,7,25,14517588
21,51,East Europe,East Europe Store 12,2019-04-26,Baby,Strollers,8,5,96848793
22,10,East Europe,East Europe Store 12,2019-05-21,Furniture,Patio furniture,9,40,36798913
23,22,East Europe,East Europe Store 12,2019-02-04,Baby,Diaper bags,4,30,21956045
24,29,East Europe,East Europe Store 12,2019-05-26,Clothing,Womens,3,10,51574177
25,56,East Europe,East Europe Store 12,2019-03-29,Baby,Cribs,4,5,40439442
26,84,East Europe,East Europe Store 12,2019-01-19,Electronics,Headphones,2,200,26770931
27,24,East Europe,East Europe Store 12,2019-06-21,Beauty/Health,Oral care,3,6,19765314
28,23,East Europe,East Europe Store 12,2019-05-25,Furniture,Pool furniture,5,40,16299457
29,62,East Europe,East Europe Store 12,2019-01-23,Clothing,Mens,3,12,83008116
30,34,East Europe,East Europe Store 12,2019-01-07,Baby,Strollers,2,12,15959822
31,56,East Europe,East Europe Store 12,2019-06-27,Beauty/Health,Feminine Products,3,10,72903335
32,34,East Europe,East Europe Store 12,2019-05-12,Beauty/Health,Fragrances,5,10,55504927
33,58,East Europe,East Europe Store 12,2019-06-30,Electronics,Headphones,1,200,80695645
