ordernum,quant,region,store,saledate,dep,item,unitsold,unitprice,employeeID
0,10,Australia Southeast,Australia Southeast Store 86,2019-04-25,Beauty/Health,Bath,7,15,47779421
1,21,Australia Southeast,Australia Southeast Store 86,2019-02-03,Clothing,Baby,5,25,43924051
2,52,Australia Southeast,Australia Southeast Store 86,2019-05-28,Beauty/Health,Fragrances,7,10,97571466
3,21,Australia Southeast,Australia Southeast Store 86,2019-01-21,Baby,Strollers,2,30,59614511
4,50,Australia Southeast,Australia Southeast Store 86,2019-05-26,Clothing,Mens,6,12,44756961
5,25,Australia Southeast,Australia Southeast Store 86,2019-07-03,Clothing,Mens,8,13,91370823
6,42,Australia Southeast,Australia Southeast Store 86,2019-06-10,Electronics,Televisions,2,50,95801350
7,17,Australia Southeast,Australia Southeast Store 86,2019-01-24,Furniture,Pool furniture,4,30,91861508
8,16,Australia Southeast,Australia Southeast Store 86,2019-02-15,Furniture,Pool furniture,4,30,39977233
9,60,Australia Southeast,Australia Southeast Store 86,2019-01-09,Electronics,Televisions,2,50,93344125
10,2,Australia Southeast,Australia Southeast Store 86,2019-03-27,Electronics,Computers,2,300,11497620
11,10,Australia Southeast,Australia Southeast Store 86,2019-01-13,Electronics,Televisions,2,200,40712161
12,2,Australia Southeast,Australia Southeast Store 86,2019-03-24,Baby,Baby toys,5,12,54793013
13,14,Australia Southeast,Australia Southeast Store 86,2019-01-11,Furniture,Indoor seating,3,100,83569201
14,4,Australia Southeast,Australia Southeast Store 86,2019-05-27,Baby,Car seats,6,30,32057969
15,23,Australia Southeast,Australia Southeast Store 86,2019-04-23,Electronics,Headphones,2,300,91674936
16,98,Australia Southeast,Australia Southeast Store 86,2019-03-11,Clothing,Womens,4,25,79231641
17,7,Australia Southeast,Australia Southeast Store 86,2019-02-08,Electronics,Tablets,2,300,83201455
18,74,Australia Southeast,Australia Southeast Store 86,2019-04-08,Beauty/Health,Bath,5,10,82755192
19,40,Australia Southeast,Australia Southeast Store 86,2019-04-01,Electronics,Cell Phones,2,200,55457333
20,76,Australia Southeast,Australia Southeast Store 86,2019-05-01,Baby,Diaper bags,3,15,97705313
21,93,Australia Southeast,Australia Southeast Store 86,2019-02-16,Beauty/Health,Skincare,5,10,84979551
22,92,Australia Southeast,Australia Southeast Store 86,2019-02-02,Furniture,Patio furniture,1,15,29070641
23,85,Australia Southeast,Australia Southeast Store 86,2019-03-25,Baby,Diaper bags,1,12,29019645
24,94,Australia Southeast,Australia Southeast Store 86,2019-01-04,Clothing,Kids,2,25,72543442
25,85,Australia Southeast,Australia Southeast Store 86,2019-03-03,Electronics,Tablets,1,100,99029792
26,46,Australia Southeast,Australia Southeast Store 86,2019-04-19,Beauty/Health,Bath,4,14,28127009
27,31,Australia Southeast,Australia Southeast Store 86,2019-03-02,Furniture,Indoor seating,3,15,21896853
28,30,Australia Southeast,Australia Southeast Store 86,2019-07-11,Beauty/Health,Haircare,10,6,47805443
29,76,Australia Southeast,Australia Southeast Store 86,2019-06-12,Beauty/Health,Skincare,10,6,69051371
30,76,Australia Southeast,Australia Southeast Store 86,2019-03-22,Clothing,Swimwear,4,25,32695761
31,35,Australia Southeast,Australia Southeast Store 86,2019-04-09,Electronics,Speakers,1,100,92251282
32,47,Australia Southeast,Australia Southeast Store 86,2019-03-10,Beauty/Health,Skincare,4,10,67308200
33,16,Australia Southeast,Australia Southeast Store 86,2019-05-21,Baby,Diaper bags,8,30,87228713
34,31,Australia Southeast,Australia Southeast Store 86,2019-03-26,Baby,Car seats,2,10,45822075
35,85,Australia Southeast,Australia Southeast Store 86,2019-07-01,Electronics,Tablets,1,300,30145467
36,6,Australia Southeast,Australia Southeast Store 86,2019-04-22,Clothing,Womens,8,20,99887710
37,85,Australia Southeast,Australia Southeast Store 86,2019-03-30,Baby,Diaper bags,1,10,43248973
38,2,Australia Southeast,Australia Southeast Store 86,2019-03-18,Furniture,Pool furniture,2,30,78730827
39,60,Australia Southeast,Australia Southeast Store 86,2019-01-09,Baby,Diaper bags,5,10,65660490
40,54,Australia Southeast,Australia Southeast Store 86,2019-04-28,Baby,Baby toys,7,15,23999011
41,94,Australia Southeast,Australia Southeast Store 86,2019-05-23,Electronics,Tablets,2,100,90334387
42,13,Australia Southeast,Australia Southeast Store 86,2019-05-27,Beauty/Health,Haircare,9,6,50856414
43,2,Australia Southeast,Australia Southeast Store 86,2019-07-14,Furniture,Patio furniture,4,75,13880662
44,37,Australia Southeast,Australia Southeast Store 86,2019-05-05,Furniture,Patio furniture,7,15,70399354
45,43,Australia Southeast,Australia Southeast Store 86,2019-03-30,Clothing,Kids,2,25,13974857
46,47,Australia Southeast,Australia Southeast Store 86,2019-03-29,Clothing,Mens,4,10,80120980
47,83,Australia Southeast,Australia Southeast Store 86,2019-06-16,Baby,Diaper bags,5,30,35095971
48,94,Australia Southeast,Australia Southeast Store 86,2019-04-04,Electronics,Tablets,1,200,36870142
49,71,Australia Southeast,Australia Southeast Store 86,2019-01-12,Baby,Cribs,5,12,74461808
50,40,Australia Southeast,Australia Southeast Store 86,2019-03-14,Furniture,Beds,1,15,39722103
51,95,Australia Southeast,Australia Southeast Store 86,2019-01-26,Furniture,Indoor tables,4,15,73920599
52,55,Australia Southeast,Australia Southeast Store 86,2019-06-19,Baby,Diapers,4,30,72219967
