ordernum,quant,region,store,saledate,dep,item,unitsold,unitprice,employeeID
0,54,Australia Southeast,Australia Southeast Store 14,2019-04-08,Baby,Diaper bags,2,30,42598371
1,92,Australia Southeast,Australia Southeast Store 14,2019-01-15,Furniture,Beds,4,15,94969319
2,8,Australia Southeast,Australia Southeast Store 14,2019-07-07,Electronics,Headphones,2,50,68519941
3,101,Australia Southeast,Australia Southeast Store 14,2019-03-30,Beauty/Health,Feminine Products,2,10,36300026
4,66,Australia Southeast,Australia Southeast Store 14,2019-03-31,Electronics,Headphones,2,200,86665400
5,50,Australia Southeast,Australia Southeast Store 14,2019-03-25,Clothing,Mens,4,25,48051636
6,97,Australia Southeast,Australia Southeast Store 14,2019-04-19,Beauty/Health,Feminine Products,6,10,46404647
7,46,Australia Southeast,Australia Southeast Store 14,2019-07-15,Furniture,Patio furniture,5,15,83753493
8,37,Australia Southeast,Australia Southeast Store 14,2019-03-31,Electronics,Tablets,2,200,20880503
9,25,Australia Southeast,Australia Southeast Store 14,2019-07-14,Furniture,Indoor tables,9,75,75010901
10,56,Australia Southeast,Australia Southeast Store 14,2019-06-22,Electronics,Cell Phones,1,300,26688917
11,9,Australia Southeast,Australia Southeast Store 14,2019-06-05,Beauty/Health,Skincare,7,10,56637068
12,54,Australia Southeast,Australia Southeast Store 14,2019-02-02,Electronics,Speakers,1,300,36273042
13,98,Australia Southeast,Australia Southeast Store 14,2019-05-24,Furniture,Beds,6,40,64377150
14,76,Australia Southeast,Australia Southeast Store 14,2019-06-15,Electronics,Computers,2,50,86949790
15,26,Australia Southeast,Australia Southeast Store 14,2019-03-22,Baby,Diapers,3,30,68573500
16,45,Australia Southeast,Australia Southeast Store 14,2019-07-16,Clothing,Shoes,6,12,50259516
17,1,Australia Southeast,Australia Southeast Store 14,2019-03-22,Baby,Diapers,3,15,74060249
18,32,Australia Southeast,Australia Southeast Store 14,2019-01-26,Furniture,Pool furniture,2,15,64284816
19,20,Australia Southeast,Australia Southeast Store 14,2019-02-13,Furniture,Patio furniture,1,15,20408145
20,69,Australia Southeast,Australia Southeast Store 14,2019-02-12,Beauty/Health,Fragrances,2,14,26302772
21,79,Australia Southeast,Australia Southeast Store 14,2019-06-21,Baby,Car seats,9,30,46604804
22,26,Australia Southeast,Australia Southeast Store 14,2019-06-12,Baby,Diaper bags,7,30,28125358
23,36,Australia Southeast,Australia Southeast Store 14,2019-07-16,Furniture,Beds,8,30,41799972
24,96,Australia Southeast,Australia Southeast Store 14,2019-01-24,Furniture,Patio furniture,2,75,27851921
25,95,Australia Southeast,Australia Southeast Store 14,2019-01-17,Beauty/Health,Bath,4,10,98333354
26,68,Australia Southeast,Australia Southeast Store 14,2019-06-22,Furniture,Pool furniture,5,15,99185492
27,72,Australia Southeast,Australia Southeast Store 14,2019-06-29,Baby,Diapers,9,15,63249307
28,67,Australia Southeast,Australia Southeast Store 14,2019-05-04,Furniture,Patio furniture,5,30,24824971
29,30,Australia Southeast,Australia Southeast Store 14,2019-07-13,Beauty/Health,Bath,9,10,84691196
30,7,Australia Southeast,Australia Southeast Store 14,2019-01-25,Baby,Baby toys,5,10,84949775
31,50,Australia Southeast,Australia Southeast Store 14,2019-05-28,Furniture,Indoor seating,6,15,80428230
32,63,Australia Southeast,Australia Southeast Store 14,2019-04-13,Clothing,Swimwear,6,13,38709097
33,5,Australia Southeast,Australia Southeast Store 14,2019-04-10,Electronics,Televisions,1,200,17944327
34,40,Australia Southeast,Australia Southeast Store 14,2019-06-17,Clothing,Shoes,8,12,32690282
35,76,Australia Southeast,Australia Southeast Store 14,2019-02-26,Beauty/Health,Makeup,5,6,32899550
36,69,Australia Southeast,Australia Southeast Store 14,2019-01-14,Furniture,Patio furniture,2,100,80843581
37,33,Australia Southeast,Australia Southeast Store 14,2019-01-24,Furniture,Pool furniture,1,75,98617791
38,84,Australia Southeast,Australia Southeast Store 14,2019-03-27,Baby,Baby toys,5,5,23885466
39,58,Australia Southeast,Australia Southeast Store 14,2019-06-10,Furniture,Indoor seating,4,100,52349765
40,28,Australia Southeast,Australia Southeast Store 14,2019-07-06,Clothing,Swimwear,3,25,86401750
41,52,Australia Southeast,Australia Southeast Store 14,2019-04-11,Beauty/Health,Feminine Products,3,10,66209558
42,33,Australia Southeast,Australia Southeast Store 14,2019-02-27,Beauty/Health,Fragrances,2,10,51622761
43,48,Australia Southeast,Australia Southeast Store 14,2019-07-15,Furniture,Indoor tables,8,75,67373379
44,77,Australia Southeast,Australia Southeast Store 14,2019-05-24,Baby,Car seats,9,5,81558661
