ordernum,quant,region,store,saledate,dep,item,unitsold,unitprice,employeeID
0,74,Central US,Central US Store 46,2019-06-17,Clothing,Baby,10,25,89486417
1,77,Central US,Central US Store 46,2019-03-24,Electronics,Televisions,3,200,18157006
2,71,Central US,Central US Store 46,2019-03-21,Baby,Car seats,7,5,61740091
3,41,Central US,Central US Store 46,2019-04-26,Furniture,Beds,8,30,86728569
4,27,Central US,Central US Store 46,2019-06-01,Beauty/Health,Haircare,10,10,37894048
5,31,Central US,Central US Store 46,2019-06-19,Beauty/Health,Bath,10,14,36696203
6,71,Central US,Central US Store 46,2019-03-18,Baby,Diaper bags,3,5,71109559
7,26,Central US,Central US Store 46,2019-02-26,Furniture,Beds,4,15,84986340
8,41,Central US,Central US Store 46,2019-03-27,Baby,Car seats,3,12,52844458
9,20,Central US,Central US Store 46,2019-07-10,Electronics,Cell Phones,4,200,99352292
10,20,Central US,Central US Store 46,2019-04-03,Beauty/Health,Bath,4,10,39983000
11,85,Central US,Central US Store 46,2019-03-14,Furniture,Pool furniture,6,30,35707480
12,70,Central US,Central US Store 46,2019-07-12,Baby,Diaper bags,5,10,12535363
13,39,Central US,Central US Store 46,2019-01-31,Electronics,Tablets,4,50,90441624
14,96,Central US,Central US Store 46,2019-02-23,Clothing,Baby,3,25,67818508
15,56,Central US,Central US Store 46,2019-05-30,Furniture,Pool furniture,6,30,79359636
16,24,Central US,Central US Store 46,2019-02-23,Electronics,Computers,4,200,98670507
17,23,Central US,Central US Store 46,2019-06-08,Clothing,Mens,8,25,68775688
18,80,Central US,Central US Store 46,2019-05-26,Clothing,Mens,9,13,19560283
19,24,Central US,Central US Store 46,2019-05-10,Baby,Strollers,10,12,62418326
20,85,Central US,Central US Store 46,2019-03-14,Clothing,Swimwear,3,25,91016000
21,43,Central US,Central US Store 46,2019-01-19,Beauty/Health,Fragrances,5,10,69505443
22,31,Central US,Central US Store 46,2019-07-16,Baby,Baby toys,11,30,22326977
23,76,Central US,Central US Store 46,2019-01-28,Electronics,Televisions,4,300,80993729
24,3,Central US,Central US Store 46,2019-01-07,Clothing,Swimwear,4,10,69295439
25,82,Central US,Central US Store 46,2019-02-27,Electronics,Computers,3,100,73244828
26,9,Central US,Central US Store 46,2019-05-30,Electronics,Cell Phones,3,100,16200655
27,67,Central US,Central US Store 46,2019-02-14,Furniture,Patio furniture,4,100,11853517
28,94,Central US,Central US Store 46,2019-07-14,Baby,Strollers,12,30,34248274
29,16,Central US,Central US Store 46,2019-05-10,Beauty/Health,Oral care,12,10,83735557
30,40,Central US,Central US Store 46,2019-01-09,Electronics,Tablets,4,200,14483289
31,71,Central US,Central US Store 46,2019-01-08,Electronics,Cell Phones,4,100,52141099
32,55,Central US,Central US Store 46,2019-02-11,Beauty/Health,Fragrances,4,10,28514785
33,61,Central US,Central US Store 46,2019-05-02,Baby,Diapers,11,10,94781232
34,61,Central US,Central US Store 46,2019-05-18,Baby,Car seats,9,30,80133794
35,50,Central US,Central US Store 46,2019-01-01,Clothing,Baby,6,10,67654022
36,24,Central US,Central US Store 46,2019-03-24,Clothing,Womens,6,12,78085359
37,64,Central US,Central US Store 46,2019-06-17,Baby,Baby toys,8,15,33883000
38,65,Central US,Central US Store 46,2019-04-29,Baby,Car seats,9,10,21455282
39,50,Central US,Central US Store 46,2019-04-03,Furniture,Patio furniture,7,40,78123478
40,54,Central US,Central US Store 46,2019-01-20,Beauty/Health,Oral care,4,14,35840700
41,19,Central US,Central US Store 46,2019-04-27,Electronics,Headphones,3,100,28959868
42,15,Central US,Central US Store 46,2019-05-03,Furniture,Beds,11,40,47671506
43,43,Central US,Central US Store 46,2019-01-18,Beauty/Health,Feminine Products,6,10,89808584
44,25,Central US,Central US Store 46,2019-05-31,Clothing,Baby,7,25,63423137
45,51,Central US,Central US Store 46,2019-02-27,Clothing,Swimwear,4,13,70696927
46,42,Central US,Central US Store 46,2019-06-26,Baby,Car seats,12,12,83222339
47,99,Central US,Central US Store 46,2019-07-08,Furniture,Pool furniture,6,15,38972234
48,70,Central US,Central US Store 46,2019-04-06,Furniture,Indoor seating,5,75,57706194
49,62,Central US,Central US Store 46,2019-01-26,Baby,Baby toys,4,5,76116775
50,52,Central US,Central US Store 46,2019-04-18,Beauty/Health,Skincare,7,10,93203386
51,6,Central US,Central US Store 46,2019-04-10,Beauty/Health,Bath,12,14,90698992
52,89,Central US,Central US Store 46,2019-05-18,Furniture,Pool furniture,8,30,62925351
53,4,Central US,Central US Store 46,2019-02-23,Electronics,Computers,3,100,18647085
54,65,Central US,Central US Store 46,2019-06-16,Baby,Strollers,6,30,70960794
55,71,Central US,Central US Store 46,2019-03-13,Clothing,Swimwear,5,25,40969917
56,42,Central US,Central US Store 46,2019-05-21,Baby,Strollers,7,12,67397838
57,11,Central US,Central US Store 46,2019-06-03,Clothing,Womens,6,12,39535509
58,52,Central US,Central US Store 46,2019-04-06,Baby,Diapers,3,30,35542581
59,25,Central US,Central US Store 46,2019-02-05,Electronics,Speakers,4,300,33013952
60,11,Central US,Central US Store 46,2019-02-22,Clothing,Mens,3,10,89680150
61,18,Central US,Central US Store 46,2019-03-22,Furniture,Pool furniture,6,40,77923023
62,100,Central US,Central US Store 46,2019-03-20,Beauty/Health,Skincare,4,14,80872082
63,39,Central US,Central US Store 46,2019-03-23,Baby,Baby toys,4,12,18531653
64,35,Central US,Central US Store 46,2019-03-09,Beauty/Health,Feminine Products,5,10,54785452
65,100,Central US,Central US Store 46,2019-02-12,Furniture,Indoor tables,4,15,20472727
66,91,Central US,Central US Store 46,2019-04-26,Clothing,Mens,9,10,45243335
67,20,Central US,Central US Store 46,2019-05-16,Clothing,Mens,5,25,63402283
68,44,Central US,Central US Store 46,2019-02-06,Furniture,Pool furniture,7,100,29372405
69,101,Central US,Central US Store 46,2019-02-21,Clothing,Mens,6,13,57270670
70,70,Central US,Central US Store 46,2019-07-04,Electronics,Cell Phones,4,100,94092765
71,42,Central US,Central US Store 46,2019-06-30,Baby,Baby toys,9,30,87717967
72,18,Central US,Central US Store 46,2019-01-25,Electronics,Tablets,4,200,84782600
73,45,Central US,Central US Store 46,2019-07-11,Baby,Baby toys,11,15,99671602
74,56,Central US,Central US Store 46,2019-06-09,Beauty/Health,Makeup,11,10,55028372
75,70,Central US,Central US Store 46,2019-02-27,Furniture,Patio furniture,3,40,47493940
76,20,Central US,Central US Store 46,2019-03-05,Beauty/Health,Haircare,4,6,97198709
77,97,Central US,Central US Store 46,2019-03-16,Clothing,Swimwear,5,25,33577783
78,13,Central US,Central US Store 46,2019-05-28,Beauty/Health,Haircare,7,6,34746759
79,79,Central US,Central US Store 46,2019-01-30,Baby,Car seats,3,30,61111982
80,80,Central US,Central US Store 46,2019-05-01,Furniture,Pool furniture,12,30,88046507
81,67,Central US,Central US Store 46,2019-02-16,Furniture,Indoor tables,5,15,48071310
82,56,Central US,Central US Store 46,2019-02-17,Clothing,Mens,5,10,48633505
83,73,Central US,Central US Store 46,2019-05-27,Baby,Car seats,7,5,49304851
84,30,Central US,Central US Store 46,2019-04-24,Baby,Diaper bags,10,12,12346332
85,65,Central US,Central US Store 46,2019-01-09,Electronics,Televisions,4,50,56074285
86,79,Central US,Central US Store 46,2019-02-02,Electronics,Tablets,4,50,98527653
87,31,Central US,Central US Store 46,2019-07-08,Baby,Baby toys,7,15,25298659
88,96,Central US,Central US Store 46,2019-02-24,Beauty/Health,Makeup,7,10,14616719
89,1,Central US,Central US Store 46,2019-04-13,Clothing,Kids,10,25,43309627
90,79,Central US,Central US Store 46,2019-02-08,Baby,Diapers,4,30,29549874
91,76,Central US,Central US Store 46,2019-02-06,Electronics,Televisions,3,100,70702815
92,45,Central US,Central US Store 46,2019-02-15,Clothing,Baby,5,10,11455680
93,49,Central US,Central US Store 46,2019-04-15,Baby,Diaper bags,6,5,32356243
94,53,Central US,Central US Store 46,2019-03-26,Beauty/Health,Feminine Products,6,10,17429513
95,72,Central US,Central US Store 46,2019-03-19,Electronics,Headphones,3,100,38596758
96,28,Central US,Central US Store 46,2019-07-05,Baby,Baby toys,9,15,66835389
97,90,Central US,Central US Store 46,2019-03-19,Clothing,Shoes,5,25,82894698
98,50,Central US,Central US Store 46,2019-04-09,Furniture,Indoor tables,5,30,89821877
99,71,Central US,Central US Store 46,2019-03-07,Electronics,Tablets,3,100,18492397
100,20,Central US,Central US Store 46,2019-03-06,Furniture,Beds,7,40,35433434
101,97,Central US,Central US Store 46,2019-07-06,Clothing,Shoes,11,13,85008521
102,9,Central US,Central US Store 46,2019-01-08,Clothing,Womens,3,25,93580048
103,82,Central US,Central US Store 46,2019-05-30,Clothing,Swimwear,7,13,52453626
104,2,Central US,Central US Store 46,2019-02-07,Clothing,Swimwear,6,20,33741330
105,52,Central US,Central US Store 46,2019-04-19,Furniture,Pool furniture,11,40,20642902
106,54,Central US,Central US Store 46,2019-04-03,Electronics,Televisions,4,300,32247047
107,22,Central US,Central US Store 46,2019-05-03,Furniture,Pool furniture,8,30,27760545
108,55,Central US,Central US Store 46,2019-02-18,Clothing,Kids,4,12,87770474
109,10,Central US,Central US Store 46,2019-03-22,Clothing,Swimwear,4,13,64954411
110,8,Central US,Central US Store 46,2019-04-06,Baby,Baby toys,6,10,95280186
111,78,Central US,Central US Store 46,2019-01-28,Furniture,Beds,6,100,77763701
112,56,Central US,Central US Store 46,2019-05-26,Baby,Car seats,10,30,11526637
113,24,Central US,Central US Store 46,2019-07-05,Furniture,Patio furniture,9,75,36968028
114,69,Central US,Central US Store 46,2019-02-26,Electronics,Headphones,4,200,27873618
115,2,Central US,Central US Store 46,2019-01-11,Baby,Diaper bags,4,30,66009109
116,70,Central US,Central US Store 46,2019-03-21,Baby,Car seats,4,10,64657129
117,99,Central US,Central US Store 46,2019-04-01,Beauty/Health,Feminine Products,6,10,24550115
118,70,Central US,Central US Store 46,2019-06-29,Beauty/Health,Feminine Products,9,10,47629627
119,71,Central US,Central US Store 46,2019-04-07,Furniture,Beds,3,15,72250907
120,72,Central US,Central US Store 46,2019-03-31,Clothing,Kids,6,13,89844725
121,45,Central US,Central US Store 46,2019-05-02,Clothing,Mens,8,13,12146238
