ordernum,quant,region,store,saledate,dep,item,unitsold,unitprice,employeeID
0,4,East US,East US Store 5,2019-04-07,Baby,Cribs,6,30,66590559
1,64,East US,East US Store 5,2019-05-20,Furniture,Patio furniture,12,100,27669145
2,96,East US,East US Store 5,2019-01-02,Clothing,Mens,3,20,46313038
3,6,East US,East US Store 5,2019-02-28,Furniture,Patio furniture,5,100,86093071
4,20,East US,East US Store 5,2019-01-03,Beauty/Health,Bath,7,10,58308813
5,46,East US,East US Store 5,2019-06-04,Electronics,Computers,4,100,82078560
6,77,East US,East US Store 5,2019-06-19,Electronics,Speakers,3,100,40879772
7,47,East US,East US Store 5,2019-07-11,Electronics,Headphones,4,50,53642831
8,18,East US,East US Store 5,2019-05-01,Beauty/Health,Bath,6,10,43110827
9,21,East US,East US Store 5,2019-04-26,Furniture,Indoor tables,11,30,64943019
10,78,East US,East US Store 5,2019-05-01,Electronics,Headphones,4,100,41217469
11,97,East US,East US Store 5,2019-06-09,Clothing,Shoes,12,10,97226349
12,5,East US,East US Store 5,2019-06-17,Furniture,Beds,5,40,65610024
13,57,East US,East US Store 5,2019-06-01,Beauty/Health,Skincare,5,14,23530246
14,40,East US,East US Store 5,2019-02-28,Furniture,Indoor seating,4,100,39114195
15,38,East US,East US Store 5,2019-05-28,Beauty/Health,Feminine Products,10,10,29232077
16,16,East US,East US Store 5,2019-04-16,Furniture,Indoor seating,10,75,23091211
17,45,East US,East US Store 5,2019-01-22,Clothing,Shoes,5,25,72736132
18,47,East US,East US Store 5,2019-01-14,Electronics,Computers,4,200,23467331
19,27,East US,East US Store 5,2019-02-10,Electronics,Computers,4,50,18936341
20,58,East US,East US Store 5,2019-03-02,Beauty/Health,Oral care,4,10,45703516
21,31,East US,East US Store 5,2019-06-10,Furniture,Patio furniture,12,15,59680283
22,77,East US,East US Store 5,2019-03-11,Baby,Diaper bags,6,12,65459673
23,16,East US,East US Store 5,2019-02-26,Beauty/Health,Oral care,5,14,23947491
24,21,East US,East US Store 5,2019-01-06,Furniture,Beds,5,30,97153819
25,28,East US,East US Store 5,2019-05-16,Beauty/Health,Oral care,7,10,78376817
